"M","nu","test_error","tpr","fpr","tp","fp","tn","fn","scenario","family","rep"
5,0,1.92865769836689,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
10,0,1.88510801348212,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
20,0,1.99215662827391,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
30,0,1.86304319360289,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
40,0,1.94335212285638,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
50,0,1.96007406265783,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
60,0,1.91938552173199,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
75,0,1.97335711947789,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
100,0,1.94075703430023,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",8
5,0,2.63006320724994,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
10,0,2.63261149794135,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
20,0,2.48332873312254,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
30,0,2.47897371307409,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
40,0,2.6374690594421,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
50,0,2.62756845843071,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
60,0,2.62845780677687,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
75,0,2.61547299365199,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
100,0,2.54857922322534,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",9
5,0,1.47564259652061,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
10,0,1.47338359339555,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
20,0,1.48061983497724,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
30,0,1.32070812886586,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
40,0,1.3211291549834,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
50,0,1.36423686621987,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
60,0,1.41892342989485,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
75,0,1.38304287832643,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
100,0,1.43758856647152,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10
5,0,0.9937878756075,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
10,0,0.993787820040998,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
20,0,0.993793517410456,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
30,0,0.991582954944117,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
40,0,0.99753035385258,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
50,0,0.995506315273402,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
60,0,0.993531153189576,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
75,0,0.996374173496593,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
100,0,0.992943122918864,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",1
5,0,1.24909687945737,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
10,0,1.24909694180362,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
20,0,1.24825432898771,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
30,0,1.25014972621394,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
40,0,1.24900394155583,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
50,0,1.24893250022252,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
60,0,1.24536034556132,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
75,0,1.24673352344063,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
100,0,1.25170194421526,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",2
5,0,1.74790730434936,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
10,0,1.7475385117874,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
20,0,1.73999652801907,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
30,0,1.74556506053016,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
40,0,1.74534714178519,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
50,0,1.74134233858912,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
60,0,1.74669440564496,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
75,0,1.74715326540695,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
100,0,1.7466109105949,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",3
5,0,1.13681385451143,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
10,0,1.13681377518993,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
20,0,1.13832651298674,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
30,0,1.13626839558538,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
40,0,1.13150792873306,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
50,0,1.13593999577415,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
60,0,1.13557869741782,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
75,0,1.13485768631121,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
100,0,1.13462635569732,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",4
5,0,1.24082625619282,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
10,0,1.24082635445376,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
20,0,1.24132380504713,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
30,0,1.24465938516226,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
40,0,1.23651663043144,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
50,0,1.24240863359035,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
60,0,1.24366083853453,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
75,0,1.24109319294199,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
100,0,1.24261269393251,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5
5,0,1.17690690493196,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
10,0,1.1769072512247,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
20,0,1.17690761970475,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
30,0,1.17690743170958,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
40,0,1.17690750559939,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
50,0,1.17688746913476,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
60,0,1.17240172331333,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
75,0,1.17565618822506,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
100,0,1.173279990416,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",6
5,0,1.08629335082477,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
10,0,1.08629392278121,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
20,0,1.08650124317017,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
30,0,1.09190849066776,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
40,0,1.08800150598815,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
50,0,1.08335065417828,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
60,0,1.08586137607584,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
75,0,1.08378528229591,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
100,0,1.08445030459263,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",7
